#%result_name=Analysis_1
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=Y vs N
ID	Y Avg (log2)	N Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
LEXM_10551156	15.09	14.87	1.17	0.2131	0.9746	LEXM	lymphocyte_expansion_molecule_variant2
ABCF1_11741283	19.27	19.49	-1.16	0.2135	0.9746	ABCF1	ATP-binding_cassette_sub-family_F_GCN20_member_1
TNF_450555	18.4	18.24	1.12	0.2138	0.9746	TNF	tumor_necrosis_factor
GZMK_178286	18.23	19.25	-2.04	0.2178	0.9746	GZMK	granzyme_K_granzyme_3_tryptase_II
M6PR_229336	21.16	21.42	-1.19	0.2195	0.9746	M6PR	mannose-6-phosphate_receptor_cation_dependent
LAMP1_374485	19.45	19.22	1.18	0.2241	0.9746	LAMP1	lysosomal-associated_membrane_protein_1
GADD45GIP1_329429	19.9	20.24	-1.27	0.2249	0.9746	GADD45GIP1	growth_arrest_and_DNA-damage-inducible_gamma_interacting_protein_1
HLA-DOA_55163	17.83	17.74	1.07	0.2252	0.9746	HLA-DOA	major_histocompatibility_complex_class_II_DO_alpha
SAMHD1_19002006	21.2	21.49	-1.22	0.2261	0.9746	SAMHD1	SAM_domain_and_HD_domain_1
CORO1A_457563	24.17	24.34	-1.13	0.2265	0.9746	CORO1A	coronin_actin_binding_protein_1A
CXCL11_261361	11.73	12.28	-1.46	0.2266	0.9746	CXCL11	chemokine_C-X-C_motif_ligand_11
GAGE12J_144260	10.83	10.13	1.63	0.2272	0.9746	GAGE12J	G_antigen_12J
IL1A_14431546	10.88	10.27	1.53	0.2302	0.9746	IL1A	interleukin_1_alpha
BUB1_701803	17.6	17.57	1.02	0.2311	0.9746	BUB1	BUB1_mitotic_checkpoint_serine_threonine_kinase
EGR2_454559	14.71	14.74	-1.02	0.2357	0.9746	EGR2	early_growth_response_2
CXCR6_48153	15.94	16.51	-1.49	0.2360	0.9746	CXCR6	chemokine_C-X-C_motif_receptor_6
ICAM1_605711	20.34	20.11	1.18	0.2412	0.9746	ICAM1	intercellular_adhesion_molecule_1
CD1C_12531357	15.82	15.9	-1.06	0.2414	0.9746	CD1C	CD1c_molecule
GZMH_233339	19.95	19.72	1.17	0.2434	0.9746	GZMH	granzyme_H_cathepsin_G-like_2_protein_h-CCPX
IFI27_37143	16.55	18.1	-2.92	0.2444	0.9746	IFI27	interferon_alpha-inducible_protein_27
CD70_259363	15.43	15.02	1.33	0.2518	0.9746	CD70	CD70_antigen
CEACAM1_10471155	19.48	19.67	-1.15	0.2524	0.9746	CEACAM1	carcinoembryonic_antigen-related_cell_adhesion_molecule_1_biliary_glycoprotein
BST2_218322	21.71	21.75	-1.03	0.2587	0.9746	BST2	bone_marrow_stromal_cell_antigen_2
CX3CR1_207292	15.22	14.96	1.19	0.2608	0.9746	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
POU2AF1_230337	20.08	19.78	1.23	0.2631	0.9746	POU2AF1	POU_class_2_associating_factor_1
HLA-DOB_182290	18.04	17.46	1.49	0.2689	0.9746	HLA-DOB	major_histocompatibility_complex_class_II_DO_beta
IFIH1_20172123	19.4	19.57	-1.12	0.2728	0.9746	IFIH1	interferon_induced_with_helicase_C_domain_1
CDK1_837939	16.69	16.55	1.1	0.2749	0.9746	CDK1	cyclin-dependent_kinase_1
FCGR3B_620722	25.32	25.08	1.18	0.2754	0.9746	FCGR3B	Fc_fragment_of_IgG_low_affinity_IIIb_receptor_CD16b
HLA-DQB2_142243	10.6	10.06	1.46	0.2766	0.9746	HLA-DQB2	major_histocompatibility_complex_class_II_DQ_beta_2
TNFSF13B_774879	21.47	21.36	1.08	0.2780	0.9746	TNFSF13B	tumor_necrosis_factor_ligand_superfamily_member_13b
ID3_572678	16.46	16.32	1.1	0.2840	0.9746	ID3	inhibitor_of_DNA_binding_3_dominant_negative_helix-loop-helix_protein
IFIT3_72174	20.11	20.18	-1.05	0.2861	0.9746	IFIT3	interferon-induced_protein_with_tetratricopeptide_repeats_3
CEACAM8_745847	19.41	19.9	-1.4	0.2904	0.9746	CEACAM8	carcinoembryonic_antigen-related_cell_adhesion_molecule_8
LMNA_588696	18.47	18.16	1.24	0.2920	0.9746	LMNA	lamin_A_C
MS4A1_127232	20.34	19.74	1.52	0.2932	0.9746	MS4A1	membrane-spanning_4-domains_subfamily_A_member_1
CD22_10251132	18.61	18.14	1.39	0.2995	0.9746	CD22	CD22_molecule
CTSS_356460	24.59	24.71	-1.08	0.3012	0.9746	CTSS	cathepsin_S
CCNB2_9861095	17.38	16.96	1.33	0.3035	0.9746	CCNB2	cyclin_B2
GUSB_17671872	19.48	19.54	-1.04	0.3056	0.9746	GUSB	glucuronidase_beta
IFITM2_316422	25.74	25.77	-1.02	0.3072	0.9746	IFITM2	interferon_induced_transmembrane_protein_2
CD74_787896	21.66	21.89	-1.17	0.3099	0.9746	CD74	CD74_molecule_major_histocompatibility_complex_class_II_invariant_chain
IFITM1_359459	24.31	24.25	1.05	0.3112	0.9746	IFITM1	interferon_induced_transmembrane_protein_1
CD28_601704	18.98	19.5	-1.43	0.3146	0.9746	CD28	CD28_molecule
MELK_300401	16.3	16.47	-1.13	0.3213	0.9746	MELK	maternal_embryonic_leucine_zipper_kinase
CD27_409517	18.78	19.14	-1.28	0.3217	0.9746	CD27	CD27_molecule
PTPN6_17741884	22.93	23.03	-1.07	0.3233	0.9746	PTPN6	protein_tyrosine_phosphatase_non-receptor_type_6
IL7R_551658	21.42	21.53	-1.08	0.3264	0.9746	IL7R	interleukin_7_receptor
NECTIN2_13881496	15.99	15.05	1.91	0.3268	0.9746	NECTIN2	nectin_cell_adhesion_molecule_2
IFNG_400500	13.65	13.43	1.17	0.3353	0.9746	IFNG	interferon_gamma
LRP1_25642670	19.41	19.71	-1.22	0.3388	0.9746	LRP1	low_density_lipoprotein_receptor-related_protein_1
OAS3_667776	18.96	19.17	-1.16	0.3407	0.9746	OAS3	2p-5p-oligoadenylate_synthetase_3_100kDa
TNFSF10_251357	22.65	22.59	1.04	0.3419	0.9746	TNFSF10	tumor_necrosis_factor_ligand_superfamily_member_10
CD47_826931	21.71	21.69	1.02	0.3448	0.9746	CD47	CD47_molecule
CX3CL1_190298	10.58	10.18	1.32	0.3474	0.9746	CX3CL1	chemokine_C-X3-C_motif_ligand_1
ID2_579679	20.24	20.35	-1.08	0.3498	0.9746	ID2	inhibitor_of_DNA_binding_2_dominant_negative_helix-loop-helix_protein
TRIM29_882990	10.55	10.09	1.37	0.3499	0.9746	TRIM29	tripartite_motif_containing_29
LAMP3_12361344	14.31	14.24	1.05	0.3559	0.9746	LAMP3	lysosomal-associated_membrane_protein_3
PTPN7_471581	19.89	20.05	-1.11	0.3581	0.9746	PTPN7	protein_tyrosine_phosphatase_non-receptor_type_7
CD40_300407	17.66	17.55	1.08	0.3585	0.9746	CD40	CD40_molecule_TNF_receptor_superfamily_member_5
CCL2_242346	11.16	11.11	1.03	0.3614	0.9746	CCL2	chemokine_C-C_motif_ligand_2
FYB_12891393	23.4	23.53	-1.1	0.3619	0.9746	FYB	FYN_binding_protein
NTN3_12821377	10.54	10.08	1.37	0.3620	0.9746	NTN3	netrin_3
EBI3_527636	13.98	13.74	1.18	0.3634	0.9746	EBI3	Epstein-Barr_virus_induced_3
TDO2_55162	10.49	10.04	1.37	0.3771	0.9746	TDO2	tryptophan_2_3-dioxygenase
GAGE2C_104217	10.54	10.09	1.37	0.3784	0.9746	GAGE2C,GAGE2A,GAGE2E	G_antigen_2C
MLANA_159265	10.59	10.01	1.49	0.3791	0.9746	MLANA	melan-A
TGFB1_13681474	24.05	23.93	1.09	0.3815	0.9746	TGFB1	transforming_growth_factor_beta_1
EGR3_411516	14.71	14.47	1.18	0.3856	0.9746	EGR3	early_growth_response_3
SLAMF8_9071016	15.93	16.16	-1.18	0.3858	0.9746	SLAMF8	SLAM_family_member_8
CCL20_297403	12.39	11.64	1.68	0.3870	0.9746	CCL20	chemokine_C-C_motif_ligand_20
JCHAIN_134238	21.36	20.98	1.3	0.3892	0.9746	JCHAIN	joining_chain_of_multimeric_IgA_and_IgM
TBX21_9251036	19.26	19.65	-1.3	0.3897	0.9746	TBX21	T-box_21
ICOS_382487	17.04	17.09	-1.04	0.3910	0.9746	ICOS	inducible_T-cell_co-stimulator
HLA-DMB_854962	16.31	15.07	2.37	0.3917	0.9746	HLA-DMB	major_histocompatibility_complex_class_II_DM_beta
TNFSF18_128228	11.69	11.31	1.3	0.3929	0.9746	TNFSF18	tumor_necrosis_factor_ligand_superfamily_member_18
IL12B_314422	10.72	10.14	1.5	0.3946	0.9746	IL12B	interleukin_12B_natural_killer_cell_stimulatory_factor_2_cytotoxic_lymphocyte_maturation_factor_2_p40
MAGEA10_241320	10.53	10.04	1.4	0.3999	0.9746	MAGEA10	melanoma-associated_antigen_10
TLR9_619727	18.91	18.69	1.16	0.4023	0.9746	TLR9	toll-like_receptor_9
TNFSF14_224334	10.53	10.14	1.31	0.4032	0.9746	TNFSF14	tumor_necrosis_factor_ligand_superfamily_member_14
XAGE1B_469547	10.49	10.04	1.36	0.4032	0.9746	XAGE1B	X_antigen_family_member_1B
CD160_194300	16.71	17.31	-1.51	0.4049	0.9746	CD160	CD160_molecule
CD68_172280	23.04	23.18	-1.1	0.4086	0.9746	CD68	CD68_molecule
IDO2_458562	11.17	10.98	1.14	0.4092	0.9746	IDO2	indoleamine_2_3-dioxygenase_2
VTCN1_49157	10.48	10.04	1.36	0.4140	0.9746	VTCN1	V-set_domain_containing_T_cell_activation_inhibitor_1
TFRC_10891196	20.5	20.54	-1.03	0.4162	0.9746	TFRC	transferrin_receptor
CYBB_14221529	23.43	23.56	-1.1	0.4175	0.9746	CYBB	cytochrome_b-245_beta_polypeptide
NCAM1_26012709	17.14	16.97	1.13	0.4199	0.9746	NCAM1	neural_cell_adhesion_molecule_1
PSMB9_384491	22.74	22.65	1.07	0.4221	0.9746	PSMB9	proteasome_prosome_macropain_subunit_beta_type_9
OAS1_757865	20.76	20.88	-1.09	0.4228	0.9746	OAS1	2p-5p-oligoadenylate_synthetase_1_40_46kDa
BRCA1_42344338	17.01	17.02	-1.01	0.4240	0.9746	BRCA1	breast_cancer_1_early_onset
MAGEC2_249358	10.45	10.04	1.33	0.4248	0.9746	MAGEC2	melanoma_antigen_family_C_2
GNLY_251357	22.53	22.39	1.1	0.4320	0.9746	GNLY	granulysin
SRGN_230328	25.93	25.9	1.02	0.4331	0.9746	SRGN	serglycin
HLA-DQA2_840937	10.49	10.08	1.33	0.4341	0.9746	HLA-DQA2	major_histocompatibility_complex_class_II_DQ_alpha_2
NT5E_12531355	15.71	15.53	1.13	0.4347	0.9746	NT5E	5p-nucleotidase_ecto_CD73
CCR6_271363	17.26	16.91	1.27	0.4348	0.9746	CCR6	C-C_chemokine_receptor_type_6
NRP1_14831588	13.62	14.44	-1.75	0.4350	0.9746	NRP1	neuropilin_1
STAT6_231339	22.63	22.44	1.14	0.4351	0.9746	STAT6	signal_transducer_and_activator_of_transcription_6_interleukin-4_induced
IL22_263349	10.63	10.08	1.46	0.4363	0.9746	IL22	interleukin-22_precursor
CCL22_79185	11.69	11.64	1.04	0.4401	0.9746	CCL22	chemokine_C-C_motif_ligand_22
TNFRSF14_846950	20.12	20.32	-1.15	0.4446	0.9746	TNFRSF14	tumor_necrosis_factor_receptor_superfamily_member_14
NOS2_91195	10.47	10.04	1.35	0.4473	0.9746	NOS2	nitric_oxide_synthase_2_inducible
MAGEA4_28131	10.47	10.04	1.35	0.4473	0.9746	MAGEA4	melanoma_antigen_family_A_4
GAGE13_116232	10.47	10.04	1.35	0.4473	0.9746	GAGE13	G_antigen_13
CTAG1B_276373	10.47	10.04	1.35	0.4473	0.9746	CTAG1B	cancer/testis_antigen_1
SSX2_233349	10.47	10.04	1.35	0.4473	0.9746	SSX2	protein_SSX2_isoform_a
MAGEA1_22129	10.47	10.04	1.35	0.4473	0.9746	MAGEA1	melanoma_antigen_family_A_1_directs_expression_of_antigen_MZ2-E
EGFR_31583261	10.47	10.04	1.35	0.4473	0.9746	EGFR	epidermal_growth_factor_receptor
MAGEA3_20121	10.47	10.04	1.35	0.4473	0.9746	MAGEA3	melanoma_antigen_family_A_3
MAGEA12_30130	10.47	10.04	1.35	0.4473	0.9746	MAGEA12	melanoma_antigen_family_A_12
DMBT1_64696575	10.47	10.04	1.35	0.4473	0.9746	DMBT1	deleted_in_malignant_brain_tumors_1
BAGE_153290	10.47	10.04	1.35	0.4473	0.9746	BAGE	B_melanoma_antigen_1_precursor
GAGE1_144260	10.49	10.11	1.3	0.4499	0.9746	GAGE1,GAGE12I,GAGE12F	G_antigen_1
ITK_563669	19.96	20.2	-1.18	0.4550	0.9746	ITK	IL2-inducible_T-cell_kinase
CXCL10_354459	14.68	14.97	-1.22	0.4565	0.9746	CXCL10	chemokine_C-X-C_motif_ligand_10
KLRG1_410518	19.38	19.3	1.05	0.4578	0.9746	KLRG1	killer_cell_lectin-like_receptor_subfamily_G_member_1
KRT5_10631165	11.48	12.14	-1.58	0.4626	0.9746	KRT5	keratin_5
CIITA_294397	20.34	20.4	-1.04	0.4626	0.9746	CIITA	class_II_major_histocompatibility_complex_transactivator
C1QA_67171	16.17	16.87	-1.62	0.4683	0.9746	C1QA	complement_component_1_q_subcomponent_A_chain
CCL21_432539	10.59	10.47	1.09	0.4696	0.9746	CCL21	chemokine_C-C_motif_ligand_21
CTAG2_407763	10.48	10.12	1.28	0.4746	0.9746	CTAG2	cancer/testis_antigen_2
TARP_416517	19.73	20.1	-1.29	0.4785	0.9746	TARP	TCR_gamma_alternate_reading_frame_protein
IKZF2_537639	17.06	17.28	-1.17	0.4787	0.9746	IKZF2	IKAROS_family_zinc_finger_2_Helios
MKI67_581686	16.68	16.53	1.11	0.4787	0.9746	MKI67	marker_of_proliferation_Ki-67
TAP1_15701675	22.22	22.18	1.03	0.4810	0.9746	TAP1	transporter_1_ATP-binding_cassette_sub-family_B_MDR_TAP
PYGL_586697	23.34	23.31	1.02	0.4813	0.9746	PYGL	phosphorylase_glycogen_liver
OAS2_15981707	20.12	20.35	-1.17	0.4829	0.9746	OAS2	2p-5p-oligoadenylate_synthetase_2_69_71kDa
CD44_10151123	13.28	12.7	1.5	0.4868	0.9746	CD44	CD44_molecule_Indian_blood_group
TNFRSF4_304389	14.87	15.27	-1.32	0.4881	0.9746	TNFRSF4	tumor_necrosis_factor_receptor_superfamily_member_4
MPO_15121620	18.87	18.98	-1.08	0.4916	0.9746	MPO	myeloperoxidase
CD276_12011310	10.68	10.48	1.15	0.4925	0.9746	CD276	CD276_molecule
IL10_491598	14.88	14.42	1.38	0.4955	0.9746	IL10	interleukin_10
CSF1R_19612067	18.71	19.41	-1.63	0.4979	0.9746	CSF1R	colony_stimulating_factor_1_receptor
CBLB_296407	18.39	18.27	1.09	0.4982	0.9746	CBLB	Cbl_proto-oncogene_B_E3_ubiquitin_protein_ligase
FCGR3A_575682	24.97	24.76	1.15	0.4989	0.9746	FCGR3A	Fc_fragment_of_IgG_low_affinity_IIIa_receptor_CD16a
TYROBP_350455	26.07	25.95	1.09	0.4992	0.9746	TYROBP	TYRO_protein_tyrosine_kinase_binding_protein
ITGB1_679777	21.48	21.57	-1.07	0.5019	0.9746	ITGB1	integrin_beta_1_fibronectin_receptor_beta_polypeptide_antigen_CD29_includes_MDF2_MSK12
CXCR5_153252	17.93	17.91	1.02	0.5049	0.9746	CXCR5	chemokine_C-X-C_motif_receptor_5
SNAI2_722828	10.49	10.17	1.25	0.5085	0.9746	SNAI2	snail_family_zinc_finger_2
CCL4_121220	19.45	19.42	1.02	0.5102	0.9746	CCL4	chemokine_C-C_motif_ligand_4
FCER1G_31138	24.99	24.95	1.03	0.5115	0.9746	FCER1G	Fc_fragment_of_IgE_high_affinity_I_receptor_for_gamma_polypeptide
IL4_380477	11.29	11.32	-1.02	0.5134	0.9746	IL4	interleukin_4
CXCL9_149250	13.14	13.25	-1.08	0.5144	0.9746	CXCL9	chemokine_C-X-C_motif_ligand_9
CD86_169267	19.79	20.37	-1.5	0.5147	0.9746	CD86	CD86_molecule
CCL5_110219	22.99	23.29	-1.22	0.5150	0.9746	CCL5	chemokine_C-C_motif_ligand_5
PTK7_15161625	14.12	14.2	-1.06	0.5174	0.9746	PTK7	protein_tyrosine_kinase_7
IL23A_386491	14.5	15.07	-1.48	0.5237	0.9746	IL23A	interleukin_23_alpha_subunit_p19
VEGFA_17121817	17.96	17.8	1.11	0.5266	0.9746	VEGFA	vascular_endothelial_growth_factor_A
CD37_496605	24.11	24.03	1.06	0.5280	0.9746	CD37	CD37_molecule
NCF1_509617	24.96	24.93	1.02	0.5302	0.9746	NCF1	neutrophil_cytosolic_factor_1
IRF4_786895	18.59	18.37	1.17	0.5307	0.9746	IRF4	interferon_regulatory_factor_4
IL3RA_465565	16.95	16.98	-1.02	0.5324	0.9746	IL3RA	interleukin_3_receptor_alpha_low_affinity
C1QB_111199	17.2	17.97	-1.7	0.5350	0.9746	C1QB	complement_component_1_q_subcomponent_B_chain
FAS_473575	21.12	20.96	1.11	0.5393	0.9746	FAS	Fas_cell_surface_death_receptor
HAVCR2_594705	18.78	19.05	-1.2	0.5406	0.9746	HAVCR2	hepatitis_A_virus_cellular_receptor_2
FASLG_417521	17.19	17.49	-1.23	0.5477	0.9746	FASLG	Fas_ligand_TNF_superfamily_member_6
ICOSLG_483588	16.37	16.53	-1.12	0.5478	0.9746	ICOSLG	inducible_T-cell_co-stimulator_ligand
TOP2A_27522855	17.06	16.61	1.36	0.5496	0.9746	TOP2A	topoisomerase_DNA_II_alpha_170kDa
LILRB2_891994	22.2	22.16	1.03	0.5533	0.9746	LILRB2	leukocyte_immunoglobulin-like_receptor_subfamily_B_with_TM_and_ITIM_domains_member_2
FUT4_31443252	18.06	18.04	1.01	0.5534	0.9746	FUT4	fucosyltransferase_4_alpha_1_3_fucosyltransferase_myeloid-specific
TUBB_369479	22.17	22.17	1	0.5586	0.9746	TUBB	tubulin_beta_class_I
PECAM1_22132	16.75	16.63	1.09	0.5588	0.9746	PECAM1	platelet_endothelial_cell_adhesion_molecule_1
IL17F_35139	10.58	10.13	1.36	0.5603	0.9746	IL17F	interleukin_17F
STAT5A_18501954	20.56	20.72	-1.12	0.5610	0.9746	STAT5A	signal_transducer_and_activator_of_transcription_5A
MMP9_11741283	23.14	22.91	1.17	0.5641	0.9746	MMP9	matrix_metallopeptidase_9_gelatinase_B_92kDa_gelatinase_92kDa_type_IV_collagenase
PMEL_233339	11.74	11.8	-1.04	0.5644	0.9746	PMEL	premelanosome_protein
CDKN2A_696829	15.85	15.63	1.17	0.5670	0.9746	CDKN2A	cyclin-dependent_kinase_inhibitor_2A_isoform_p12
IRF1_752861	23.54	23.51	1.03	0.5734	0.9746	IRF1	interferon_regulatory_factor_1
PRDM1_484588	20.18	19.83	1.27	0.5758	0.9746	PRDM1	PR_domain_containing_1_with_ZNF_domain
CCL17_288394	10.57	10.23	1.27	0.5761	0.9746	CCL17	chemokine_C-C_motif_ligand_17
LCK_89192	13.98	14.31	-1.26	0.5764	0.9746	LCK	lymphocyte-specific_protein_tyrosine_kinase
GBP1_771872	21.05	21.15	-1.07	0.5772	0.9746	GBP1	guanylate_binding_protein_1_interferon-inducible
NCR3_234342	17.27	17.3	-1.03	0.5805	0.9746	NCR3	natural_cytotoxicity_triggering_receptor_3
PDCD1LG2_315423	16.07	15.27	1.73	0.5810	0.9746	PDCD1LG2	programmed_cell_death_1_ligand_2
AIF1_385491	22.03	22.18	-1.11	0.5850	0.9746	AIF1	allograft_inflammatory_factor_1
G6PD_10841194	22.08	21.88	1.15	0.5902	0.9746	G6PD	glucose-6-phosphate_dehydrogenase
AXL_24872596	11.43	11.56	-1.1	0.5941	0.9746	AXL	AXL_receptor_tyrosine_kinase
IRS1_37283828	15.93	15.73	1.16	0.5958	0.9746	IRS1	insulin_receptor_substrate_1
IL2RG_884988	23.26	23.11	1.11	0.5998	0.9746	IL2RG	interleukin_2_receptor_gamma
AKT1_358467	19.95	19.83	1.08	0.6006	0.9746	AKT1	v-akt_murine_thymoma_viral_oncogene_homolog_1
ADORA2A_771873	19.69	19.73	-1.03	0.6063	0.9746	ADORA2A	adenosine_A2a_receptor
CD1D_10661173	18.21	18.7	-1.41	0.6123	0.9746	CD1D	CD1d_molecule
STAT4_245352	18.33	18.43	-1.08	0.6163	0.9746	STAT4	signal_transducer_and_activator_of_transcription_4
ENTPD1_708815	21.26	21.3	-1.03	0.6178	0.9746	ENTPD1	ectonucleoside_triphosphate_diphosphohydrolase_1
EFNA4_548649	16.91	17	-1.07	0.6194	0.9746	EFNA4	ephrin-A4
CD209_9921101	13.24	13.79	-1.46	0.6200	0.9746	CD209	CD209_molecule
CTLA4_584689	15.74	16.06	-1.25	0.6220	0.9746	CTLA4	cytotoxic_T-lymphocyte-associated_protein_4
SH2D1B_173275	17.84	18.25	-1.32	0.6222	0.9746	SH2D1B	SH2_domain_containing_1B
IDO1_268369	15.14	15.23	-1.06	0.6262	0.9746	IDO1	indoleamine_2_3-dioxygenase_1
SH2D1A_540642	18.28	18.32	-1.03	0.6278	0.9746	SH2D1A	SH2_domain_containing_1A
PDCD1_143244	15.52	15.9	-1.3	0.6319	0.9746	PDCD1	programmed_cell_death_1
ADGRE5_26552764	23.37	22.98	1.32	0.6343	0.9746	ADGRE5	adhesion_G_protein-coupled_receptor_E5
ITGAM_31033209	21.7	21.47	1.17	0.6377	0.9746	ITGAM	integrin_alpha_M_complement_component_3_receptor_3_subunit
TWIST1_9291033	10.98	10.74	1.19	0.6385	0.9746	TWIST1	twist_family_bHLH_transcription_factor_1
HLA-DMA_764869	20.38	20.69	-1.25	0.6429	0.9746	HLA-DMA	major_histocompatibility_complex_class_II_DM_alpha
IL2RA_240338	17.68	17.7	-1.02	0.6478	0.9746	IL2RA	interleukin_2_receptor_alpha
CXCR4_100208	23.56	23.47	1.06	0.6508	0.9746	CXCR4	chemokine_C-X-C_motif_receptor_4
GZMA_165265	19.94	20.36	-1.35	0.6524	0.9746	GZMA	granzyme_A_granzyme_1_cytotoxic_T-lymphocyte-associated_serine_esterase_3
