#%result_name=Day 1 only
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=1 vs 4
ID	1 Avg (log2)	4 Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
KLRG1_410518	18.61	20.56	-3.88	1.17E-06	1.50E-05	KLRG1	killer_cell_lectin-like_receptor_subfamily_G_member_1
MYC_510619	19.4	21.17	-3.43	1.27E-06	1.57E-05	MYC	v-myc_avian_myelocytomatosis_viral_oncogene_homolog
BCL6_21502257	24.62	22.49	4.37	1.46E-06	1.76E-05	BCL6	B-cell_CLL_lymphoma_6
CD3E_677780	21.32	23.49	-4.48	2.08E-06	2.44E-05	CD3E	CD3e_molecule_epsilon_CD3-TCR_complex
CD3G_616717	20.56	22.63	-4.18	2.38E-06	2.69E-05	CD3G	CD3g_molecule_gamma_CD3-TCR_complex
FASLG_417521	16.45	18.38	-3.81	2.43E-06	2.69E-05	FASLG	Fas_ligand_TNF_superfamily_member_6
SIT1_148254	18.64	20.77	-4.39	2.68E-06	2.87E-05	SIT1	signaling_threshold_regulating_transmembrane_adaptor_1
CX3CR1_147243	13.83	16.44	-6.1	2.74E-06	2.87E-05	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
CLEC4C_322429	11.83	15.74	-15.03	2.89E-06	2.95E-05	CLEC4C	C-type_lectin_domain_family_4_member_C
CXCR5_153252	17.49	19.61	-4.34	3.35E-06	3.30E-05	CXCR5	chemokine_C-X-C_motif_receptor_5
CCR5_85193	17.09	19.15	-4.16	3.40E-06	3.30E-05	CCR5	chemokine_C-C_motif_receptor_5_gene_pseudogene
STAT4_245352	17.8	19.31	-2.85	3.92E-06	3.71E-05	STAT4	signal_transducer_and_activator_of_transcription_4
EOMES_9391044	18.13	20.37	-4.72	4.09E-06	3.79E-05	EOMES	eomesodermin
HLA-DPB1_175280	21.32	23.04	-3.28	5.26E-06	4.76E-05	HLA-DPB1	major_histocompatibility_complex_class_II_DP_beta_1
IL2RA_240338	17.08	18.93	-3.6	6.12E-06	5.41E-05	IL2RA	interleukin_2_receptor_alpha
PTPRC_710817	21.52	22.85	-2.52	6.31E-06	5.46E-05	PTPRC	protein_tyrosine_phosphatase_receptor_type_C
CD8A_14271531	19.58	21.72	-4.42	9.00E-06	7.62E-05	CD8A	CD8a_molecule
GNLY_251357	21.64	23.83	-4.56	9.94E-06	8.24E-05	GNLY	granulysin
TNF_450555	18.08	19.4	-2.5	1.09E-05	8.86E-05	TNF	tumor_necrosis_factor
CD160_194300	15.78	18.12	-5.06	1.21E-05	9.62E-05	CD160	CD160_molecule
HLA-DOA_55163	17.29	19.28	-3.98	1.25E-05	9.73E-05	HLA-DOA	major_histocompatibility_complex_class_II_DO_alpha
GPR18_238340	16.94	18.66	-3.31	2.39E-05	0.0002	GPR18	G_protein-coupled_receptor_18
MMP9_11741283	23.8	21.44	5.15	2.46E-05	0.0002	MMP9	matrix_metallopeptidase_9_gelatinase_B_92kDa_gelatinase_92kDa_type_IV_collagenase
BCL2_10401144	18.69	20.29	-3.04	2.80E-05	0.0002	BCL2	B-cell_CLL_lymphoma_2
CXCR6_48153	14.96	17.37	-5.32	2.82E-05	0.0002	CXCR6	chemokine_C-X-C_motif_receptor_6
CSF1R_19612067	17.74	19.74	-4.01	2.93E-05	0.0002	CSF1R	colony_stimulating_factor_1_receptor
MAPK14_14031511	22.94	21.32	3.08	3.53E-05	0.0002	MAPK14	mitogen-activated_protein_kinase_14
PYGL_586697	23.43	21.99	2.72	3.67E-05	0.0003	PYGL	phosphorylase_glycogen_liver
PDCD1_143244	14.62	16.7	-4.22	3.93E-05	0.0003	PDCD1	programmed_cell_death_1
CD74_787896	21.43	22.7	-2.42	4.30E-05	0.0003	CD74	CD74_molecule_major_histocompatibility_complex_class_II_invariant_chain
CCR6_271363	16.31	17.89	-2.98	4.30E-05	0.0003	CCR6	C-C_chemokine_receptor_type_6
LCK_89192	13.56	16.08	-5.74	4.81E-05	0.0003	LCK	lymphocyte-specific_protein_tyrosine_kinase
CD22_10251132	17.82	19.69	-3.66	5.00E-05	0.0003	CD22	CD22_molecule
CX3CR1_207292	14.08	16.33	-4.76	5.10E-05	0.0003	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
SH2D1B_173275	17.27	19.47	-4.61	5.29E-05	0.0003	SH2D1B	SH2_domain_containing_1B
NCAM1_26012709	16.52	18.28	-3.4	5.40E-05	0.0003	NCAM1	neural_cell_adhesion_molecule_1
CRTAM_312417	16	17.44	-2.71	6.36E-05	0.0004	CRTAM	cytotoxic_and_regulatory_T_cell_molecule
NT5E_12531355	15.28	17.22	-3.85	9.61E-05	0.0006	NT5E	5p-nucleotidase_ecto_CD73
GZMK_178286	17.26	19.5	-4.73	0.0001	0.0006	GZMK	granzyme_K_granzyme_3_tryptase_II
TARP_416517	19.25	20.7	-2.73	0.0002	0.0009	TARP	TCR_gamma_alternate_reading_frame_protein
FCGR3A_575682	25.28	23.81	2.77	0.0002	0.0009	FCGR3A	Fc_fragment_of_IgG_low_affinity_IIIa_receptor_CD16a
FUT4_31443252	18.6	17.04	2.95	0.0002	0.0010	FUT4	fucosyltransferase_4_alpha_1_3_fucosyltransferase_myeloid-specific
CCR4_76182	16.46	17.88	-2.67	0.0002	0.0010	CCR4	chemokine_C-C_motif_receptor_4
NRP1_14831588	13.2	15.39	-4.57	0.0002	0.0010	NRP1	neuropilin_1
NFATC1_27682875	16	17.05	-2.06	0.0002	0.0010	NFATC1	nuclear_factor_of_activated_T-cells_cytoplasmic_calcineurin-dependent_1
SH2D1A_540642	17.25	18.92	-3.2	0.0002	0.0010	SH2D1A	SH2_domain_containing_1A
KIR2DL3_654757	14.8	17.29	-5.63	0.0002	0.0010	KIR2DL3	killer_cell_immunoglobulin-like_receptor_2DL3_precursor
FAS_473575	21.43	20.22	2.31	0.0002	0.0010	FAS	Fas_cell_surface_death_receptor
IL23A_386491	14.1	16.06	-3.88	0.0002	0.0011	IL23A	interleukin_23_alpha_subunit_p19
IKZF3_427534	19.33	20.69	-2.57	0.0002	0.0011	IKZF3	IKAROS_family_zinc_finger_3_Aiolos
SLAMF8_9071016	15.45	17	-2.92	0.0002	0.0012	SLAMF8	SLAM_family_member_8
CIITA_294397	19.86	20.94	-2.12	0.0002	0.0012	CIITA	class_II_major_histocompatibility_complex_transactivator
LCN2_153259	24.43	20.45	15.77	0.0003	0.0013	LCN2	lipocalin_2
ADGRE5_26552764	23.73	22.55	2.27	0.0003	0.0014	ADGRE5	adhesion_G_protein-coupled_receptor_E5
CD83_480580	16.59	17.64	-2.07	0.0003	0.0015	CD83	CD83_molecule
CD40_300407	17.35	18.5	-2.22	0.0003	0.0016	CD40	CD40_molecule_TNF_receptor_superfamily_member_5
CCL4_121220	18.88	20.36	-2.79	0.0004	0.0016	CCL4	chemokine_C-C_motif_ligand_4
LEXM_10551156	14.27	15.9	-3.1	0.0004	0.0016	LEXM	lymphocyte_expansion_molecule_variant2
FOXM1_10551166	17.06	15.8	2.39	0.0004	0.0017	FOXM1	forkhead_box_M1
SRGN_230328	26.13	24.74	2.62	0.0004	0.0017	SRGN	serglycin
FCER1G_31138	25.27	24.13	2.2	0.0004	0.0018	FCER1G	Fc_fragment_of_IgE_high_affinity_I_receptor_for_gamma_polypeptide
LRG1_24131	21.7	20.54	2.23	0.0004	0.0018	LRG1	leucine-rich_alpha-2-glycoprotein_1
PGF_742842	13.37	11.28	4.26	0.0004	0.0018	PGF	placental_growth_factor
CD274_461569	18.33	16.32	4.02	0.0004	0.0018	CD274	CD274_molecule
ITGB7_24342544	18.74	20.21	-2.78	0.0005	0.0019	ITGB7	integrin_beta_7
CTLA4_584689	15.12	17.04	-3.8	0.0005	0.0021	CTLA4	cytotoxic_T-lymphocyte-associated_protein_4
KLRD1_515619	19.68	21.06	-2.6	0.0006	0.0025	KLRD1	killer_cell_lectin-like_receptor_subfamily_D_member_1
LAG3_13111419	15.62	17.17	-2.94	0.0007	0.0026	LAG3	lymphocyte-activation_gene_3
CBLB_296407	17.83	19.18	-2.56	0.0007	0.0026	CBLB	Cbl_proto-oncogene_B_E3_ubiquitin_protein_ligase
KLRB1_177284	17.92	19.33	-2.66	0.0007	0.0027	KLRB1	killer_cell_lectin-like_receptor_subfamily_B_member_1
PTPRCAP_383516	15.6	17	-2.65	0.0007	0.0028	PTPRCAP	protein_tyrosine_phosphatase_receptor_type_C-associated_protein_precursor
MRC1_529634	14.52	13.02	2.83	0.0008	0.0030	MRC1	mannose_receptor_C_type_1
B3GAT1_170280	15.19	16.97	-3.44	0.0008	0.0032	B3GAT1	beta-1_3-glucuronyltransferase_1_glucuronosyltransferase_P
BRCA1_42344338	17.3	16.02	2.44	0.0009	0.0032	BRCA1	breast_cancer_1_early_onset
IFITM1_359459	24.4	23.23	2.26	0.0009	0.0032	IFITM1	interferon_induced_transmembrane_protein_1
MS4A1_127232	19.49	21	-2.85	0.0009	0.0032	MS4A1	membrane-spanning_4-domains_subfamily_A_member_1
CXCR3_11138	12.31	14.48	-4.51	0.0009	0.0034	CXCR3	C-X-C_chemokine_receptor_type_3_isoform_1
CEACAM8_745847	21.23	17.36	14.61	0.0010	0.0034	CEACAM8	carcinoembryonic_antigen-related_cell_adhesion_molecule_8
MPO_15121620	20.05	17.41	6.21	0.0011	0.0039	MPO	myeloperoxidase
TNFSF9_325412	11.72	13.78	-4.19	0.0011	0.0039	TNFSF9	tumor_necrosis_factor_ligand_superfamily_member_9
EGR2_454559	14.19	15.59	-2.64	0.0012	0.0040	EGR2	early_growth_response_2
ICOSLG_483588	16.1	17.53	-2.7	0.0012	0.0040	ICOSLG	inducible_T-cell_co-stimulator_ligand
PTEN_19732078	22.66	20.65	4.03	0.0012	0.0040	PTEN	phosphatase_and_tensin_homolog
KLRF1_188285	16.28	17.35	-2.1	0.0012	0.0042	KLRF1	killer_cell_lectin-like_receptor_subfamily_F_member_1
BUB1_701803	18.14	16.96	2.27	0.0014	0.0047	BUB1	BUB1_mitotic_checkpoint_serine_threonine_kinase
IFITM2_316422	26.08	24.71	2.57	0.0016	0.0052	IFITM2	interferon_induced_transmembrane_protein_2
CCL5_110219	22.49	23.69	-2.3	0.0018	0.0059	CCL5	chemokine_C-C_motif_ligand_5
IGF1R_12291338	21.77	20.66	2.17	0.0019	0.0060	IGF1R	insulin-like_growth_factor_1_receptor
CD3D_400503	19.26	20.75	-2.81	0.0020	0.0062	CD3D	CD3d_molecule_delta_CD3-TCR_complex
IFNA17_691788	13.18	9.97	9.25	0.0021	0.0066	IFNA17	interferon_alpha_17
CD27_409517	18.5	20.35	-3.59	0.0022	0.0066	CD27	CD27_molecule
TNFRSF18_348456	14.37	15.8	-2.7	0.0022	0.0066	TNFRSF18	tumor_necrosis_factor_receptor_superfamily_member_18
ID3_572678	16.05	17.95	-3.73	0.0024	0.0074	ID3	inhibitor_of_DNA_binding_3_dominant_negative_helix-loop-helix_protein
HLA-B_639746	18.78	14.89	14.84	0.0027	0.0081	HLA-B	major_histocompatibility_complex_class_I_B
ZBTB46_13361440	11.65	13.55	-3.74	0.0030	0.0087	ZBTB46	zinc_finger_and_BTB_domain_containing_46
DGAT2_439548	22.26	21.22	2.06	0.0032	0.0091	DGAT2	diacylglycerol_O-acyltransferase_2
CMKLR1_36143	12.21	14.02	-3.51	0.0035	0.0099	CMKLR1	chemokine-like_receptor_1
KREMEN1_12861389	19.57	18.26	2.48	0.0035	0.0099	KREMEN1	kringle_containing_transmembrane_protein_1
GZMB_581688	20.05	21.3	-2.38	0.0035	0.0099	GZMB	granzyme_B_granzyme_2_cytotoxic_T-lymphocyte-associated_serine_esterase_1
HLA-DQA1_587686	19.42	21.24	-3.54	0.0041	0.0113	HLA-DQA1	major_histocompatibility_complex_class_II_DQ_alpha_1
ENTPD1_708815	21.43	20.18	2.37	0.0041	0.0113	ENTPD1	ectonucleoside_triphosphate_diphosphohydrolase_1
AXL_24872596	11.09	13.59	-5.65	0.0042	0.0115	AXL	AXL_receptor_tyrosine_kinase
FCRLA_710815	18.26	19.42	-2.24	0.0044	0.0118	FCRLA	Fc_receptor-like_A
TNFRSF4_304389	14.11	15.7	-3.01	0.0045	0.0120	TNFRSF4	tumor_necrosis_factor_receptor_superfamily_member_4
LYZ_120222	25.98	24.98	2.01	0.0045	0.0121	LYZ	lysozyme
CX3CR1_58187	17.73	18.96	-2.34	0.0057	0.0150	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
CD209_9921101	12.71	14.71	-4.01	0.0061	0.0159	CD209	CD209_molecule
TLR8_36137	21.92	20.69	2.34	0.0065	0.0167	TLR8	toll-like_receptor_8
OAS2_15981707	19.62	21.2	-2.98	0.0078	0.0197	OAS2	2p-5p-oligoadenylate_synthetase_2_69_71kDa
SKAP2_809912	22.49	21.21	2.43	0.0081	0.0203	SKAP2	src_kinase_associated_phosphoprotein_2
CD44_10151123	13.5	12.44	2.09	0.0086	0.0213	CD44	CD44_molecule_Indian_blood_group
ITGAE_33753481	16.45	15.17	2.42	0.0095	0.0234	ITGAE	integrin_alpha_E_antigen_CD103_human_mucosal_lymphocyte_antigen_1_alpha_polypeptide
TOP2A_27522855	17.62	16.08	2.91	0.0100	0.0245	TOP2A	topoisomerase_DNA_II_alpha_170kDa
CD79A_184290	21.32	22.62	-2.45	0.0101	0.0245	CD79A	CD79a_molecule_immunoglobulin-associated_alpha
IL7_545652	14.63	15.92	-2.43	0.0103	0.0248	IL7	interleukin_7
IDO1_268369	14.64	16.43	-3.47	0.0103	0.0248	IDO1	indoleamine_2_3-dioxygenase_1
CD244_868973	18.27	19.27	-2.01	0.0108	0.0257	CD244	CD244_molecule_natural_killer_cell_receptor_2B4
IL18_140246	19.16	17.84	2.51	0.0109	0.0257	IL18	interleukin_18_interferon-gamma-inducing_factor
IL10_491598	15.03	14.01	2.02	0.0112	0.0263	IL10	interleukin_10
CD276_12011310	10.95	9.85	2.14	0.0159	0.0364	CD276	CD276_molecule
CXCR2_379486	24.58	23.3	2.43	0.0167	0.0377	CXCR2	chemokine_C-X-C_motif_receptor_2
GZMH_233339	19.28	20.59	-2.46	0.0174	0.0388	GZMH	granzyme_H_cathepsin_G-like_2_protein_h-CCPX
KRT5_10631165	11.03	13.56	-5.78	0.0181	0.0402	KRT5	keratin_5
CCNB2_9861095	18.13	16.6	2.89	0.0204	0.0448	CCNB2	cyclin_B2
KIR2DL1_9142	12.2	13.66	-2.76	0.0213	0.0464	KIR2DL1	killer_cell_immunoglobulin-like_receptor_2DL1_precursor
CCL21_432539	10.93	9.8	2.2	0.0231	0.0499	CCL21	chemokine_C-C_motif_ligand_21
CEACAM1_10471155	19.99	18.64	2.55	0.0232	0.0500	CEACAM1	carcinoembryonic_antigen-related_cell_adhesion_molecule_1_biliary_glycoprotein
CDKN3_434534	16.53	14.14	5.23	0.0288	0.0613	CDKN3	cyclin-dependent_kinase_inhibitor_3
IFNB1_579686	13.37	12.15	2.33	0.0299	0.0633	IFNB1	interferon_beta_1_fibroblast
TNFSF13B_774879	21.32	20.31	2.02	0.0311	0.0653	TNFSF13B	tumor_necrosis_factor_ligand_superfamily_member_13b
IL22_263349	10.94	9.87	2.09	0.0316	0.0659	IL22	interleukin-22_precursor
ALOX15B_13391445	15.56	14.34	2.33	0.0334	0.0693	ALOX15B	arachidonate_15-lipoxygenase_type_B
HMBS_796904	18.94	17.78	2.24	0.0340	0.0701	HMBS	hydroxymethylbilane_synthase
FCGR3B_620722	25.64	24.26	2.6	0.0352	0.0718	FCGR3B	Fc_fragment_of_IgG_low_affinity_IIIb_receptor_CD16b
MELK_300401	16.59	15.59	2.01	0.0378	0.0755	MELK	maternal_embryonic_leucine_zipper_kinase
KIAA0101_319426	16.72	15.08	3.12	0.0387	0.0763	KIAA0101	KIAA0101
CD79B_484590	18.46	19.82	-2.56	0.0398	0.0772	CD79B	CD79b_molecule_immunoglobulin-associated_beta
TLR3_24932595	12.82	14.01	-2.28	0.0423	0.0813	TLR3	toll-like_receptor_3
