#%result_name=1 vs 3+4
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=1 vs 3+4
ID	1 Avg (log2)	3+4 Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
SH2D1A_540642	17.28	18.77	-2.81	7.66E-07	1.60E-05	SH2D1A	SH2_domain_containing_1A
CA4_420530	21.41	20.34	2.1	9.37E-07	1.86E-05	CA4	carbonic_anhydrase_IV
MYC_510619	19.43	20.51	-2.11	1.01E-06	1.91E-05	MYC	v-myc_avian_myelocytomatosis_viral_oncogene_homolog
TCF7_677799	19.87	21.34	-2.78	1.62E-06	2.86E-05	TCF7	transcription_factor_7_isoform_1
CCR7_133237	19.44	21.14	-3.26	1.65E-06	2.86E-05	CCR7	chemokine_C-C_motif_receptor_7
FASLG_417521	16.51	17.8	-2.45	2.26E-06	3.69E-05	FASLG	Fas_ligand_TNF_superfamily_member_6
CD8A_14271531	19.48	21.07	-3.02	2.41E-06	3.69E-05	CD8A	CD8a_molecule
PRF1_672778	18.68	19.89	-2.32	2.64E-06	3.90E-05	PRF1	perforin_1_pore_forming_protein
SIT1_148254	18.51	19.82	-2.49	3.71E-06	5.27E-05	SIT1	signaling_threshold_regulating_transmembrane_adaptor_1
KLRD1_515619	19.43	20.78	-2.55	4.40E-06	6.04E-05	KLRD1	killer_cell_lectin-like_receptor_subfamily_D_member_1
CD3G_616717	20.33	21.92	-3.02	4.79E-06	6.36E-05	CD3G	CD3g_molecule_gamma_CD3-TCR_complex
GATA3_14061514	17.19	18.59	-2.63	5.86E-06	7.53E-05	GATA3	GATA_binding_protein_3
BCL6_21502257	24.55	23.53	2.03	6.47E-06	8.04E-05	BCL6	B-cell_CLL_lymphoma_6
CD2_350452	20.17	21.37	-2.3	7.18E-06	8.66E-05	CD2	CD2_molecule
TLR7_99206	18.22	19.25	-2.04	1.12E-05	0.0001	TLR7	toll-like_receptor_7
IFNA17_691788	13.35	10.6	6.73	1.15E-05	0.0001	IFNA17	interferon_alpha_17
CCR6_271363	16.49	17.59	-2.14	1.39E-05	0.0001	CCR6	C-C_chemokine_receptor_type_6
CD28_601704	18.35	19.74	-2.62	1.42E-05	0.0001	CD28	CD28_molecule
RORC_12011307	14.95	16.42	-2.78	1.45E-05	0.0001	RORC	RAR-related_orphan_receptor_C
KLRB1_177284	17.99	19.08	-2.12	1.56E-05	0.0002	KLRB1	killer_cell_lectin-like_receptor_subfamily_B_member_1
GPR18_238340	16.9	18.26	-2.56	1.60E-05	0.0002	GPR18	G_protein-coupled_receptor_18
FUT4_31443252	18.66	17.58	2.12	2.15E-05	0.0002	FUT4	fucosyltransferase_4_alpha_1_3_fucosyltransferase_myeloid-specific
CD160_194300	15.73	17.47	-3.34	3.14E-05	0.0003	CD160	CD160_molecule
CEACAM8_745847	20.91	18.52	5.24	3.25E-05	0.0003	CEACAM8	carcinoembryonic_antigen-related_cell_adhesion_molecule_8
CD40LG_479579	17.57	18.87	-2.47	3.64E-05	0.0003	CD40LG	CD40_ligand
NCR3_234342	16.43	17.77	-2.53	4.10E-05	0.0003	NCR3	natural_cytotoxicity_triggering_receptor_3
MMP9_11741283	23.97	22.4	2.97	5.78E-05	0.0004	MMP9	matrix_metallopeptidase_9_gelatinase_B_92kDa_gelatinase_92kDa_type_IV_collagenase
CCNB2_9861095	17.92	16.79	2.19	7.30E-05	0.0005	CCNB2	cyclin_B2
HLA-DPB1_175280	21.12	22.27	-2.23	7.42E-05	0.0005	HLA-DPB1	major_histocompatibility_complex_class_II_DP_beta_1
IKZF2_537639	16.55	17.6	-2.06	0.0001	0.0007	IKZF2	IKAROS_family_zinc_finger_2_Helios
CRTAM_312417	16.14	17.32	-2.27	0.0001	0.0007	CRTAM	cytotoxic_and_regulatory_T_cell_molecule
CD3E_677780	21.34	22.73	-2.62	0.0001	0.0007	CD3E	CD3e_molecule_epsilon_CD3-TCR_complex
PDCD1_143244	14.77	16.16	-2.62	0.0001	0.0008	PDCD1	programmed_cell_death_1
ICOS_382487	16.41	17.46	-2.07	0.0001	0.0008	ICOS	inducible_T-cell_co-stimulator
LCN2_153259	24.16	22.12	4.12	0.0002	0.0009	LCN2	lipocalin_2
TOP2A_27522855	17.72	16.58	2.21	0.0002	0.0010	TOP2A	topoisomerase_DNA_II_alpha_170kDa
CLEC4C_322429	11.91	14.44	-5.77	0.0002	0.0010	CLEC4C	C-type_lectin_domain_family_4_member_C
LAG3_13111419	15.58	16.79	-2.32	0.0002	0.0011	LAG3	lymphocyte-activation_gene_3
S100A8_239334	25.32	23.97	2.55	0.0002	0.0013	S100A8	S100_calcium_binding_protein_A8
CD44_10151123	13.81	12.64	2.25	0.0002	0.0013	CD44	CD44_molecule_Indian_blood_group
EOMES_9391044	18.13	19.63	-2.83	0.0003	0.0014	EOMES	eomesodermin
HLA-DMB_854962	14.44	17.62	-9.08	0.0003	0.0015	HLA-DMB	major_histocompatibility_complex_class_II_DM_beta
BCL2_10401144	18.6	19.62	-2.02	0.0003	0.0017	BCL2	B-cell_CLL_lymphoma_2
CD274_461569	18.82	17.49	2.52	0.0003	0.0017	CD274	CD274_molecule
HLA-DOA_55163	17.16	18.19	-2.04	0.0004	0.0019	HLA-DOA	major_histocompatibility_complex_class_II_DO_alpha
IFNB1_579686	13.74	12.07	3.18	0.0005	0.0024	IFNB1	interferon_beta_1_fibroblast
CXCR5_153252	17.29	18.42	-2.19	0.0006	0.0025	CXCR5	chemokine_C-X-C_motif_receptor_5
MPO_15121620	19.86	17.96	3.72	0.0006	0.0025	MPO	myeloperoxidase
FOXP3_865975	16.49	17.57	-2.11	0.0007	0.0028	FOXP3	forkhead_box_P3
SH2D1B_173275	17.21	18.43	-2.33	0.0007	0.0030	SH2D1B	SH2_domain_containing_1B
CX3CR1_147243	13.97	15.4	-2.68	0.0008	0.0032	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
HLA-DPA1_129237	21.64	23.53	-3.7	0.0009	0.0035	HLA-DPA1	major_histocompatibility_complex_class_II_DP_alpha_1
TNFRSF18_348456	14.73	15.79	-2.08	0.0009	0.0036	TNFRSF18	tumor_necrosis_factor_receptor_superfamily_member_18
CX3CR1_207292	14.32	15.78	-2.74	0.0010	0.0037	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
CXCR6_48153	15.32	16.47	-2.22	0.0011	0.0042	CXCR6	chemokine_C-X-C_motif_receptor_6
KLRK1_698804	19.43	20.49	-2.1	0.0012	0.0043	KLRK1	killer_cell_lectin-like_receptor_subfamily_K_member_1
KIR2DL3_654757	14.86	16.04	-2.27	0.0012	0.0043	KIR2DL3	killer_cell_immunoglobulin-like_receptor_2DL3_precursor
GZMH_233339	19.16	20.32	-2.24	0.0012	0.0044	GZMH	granzyme_H_cathepsin_G-like_2_protein_h-CCPX
GZMA_165265	19.29	20.5	-2.31	0.0014	0.0049	GZMA	granzyme_A_granzyme_1_cytotoxic_T-lymphocyte-associated_serine_esterase_3
B3GAT1_170280	15.02	16.41	-2.62	0.0023	0.0077	B3GAT1	beta-1_3-glucuronyltransferase_1_glucuronosyltransferase_P
ALOX15B_13391445	15.81	14.39	2.69	0.0023	0.0077	ALOX15B	arachidonate_15-lipoxygenase_type_B
SLAMF8_9071016	15.27	16.32	-2.06	0.0024	0.0078	SLAMF8	SLAM_family_member_8
CD27_409517	18.27	19.3	-2.04	0.0028	0.0091	CD27	CD27_molecule
CTLA4_584689	15.2	16.35	-2.21	0.0033	0.0100	CTLA4	cytotoxic_T-lymphocyte-associated_protein_4
NRP1_14831588	12.87	14.46	-3	0.0033	0.0100	NRP1	neuropilin_1
TLR3_24932595	12.84	14.38	-2.91	0.0040	0.0119	TLR3	toll-like_receptor_3
LEXM_10551156	14.27	15.58	-2.48	0.0044	0.0128	LEXM	lymphocyte_expansion_molecule_variant2
HLA-B_639746	20.02	15.07	30.95	0.0052	0.0146	HLA-B	major_histocompatibility_complex_class_I_B
IL23A_386491	13.94	15.11	-2.25	0.0083	0.0215	IL23A	interleukin_23_alpha_subunit_p19
TNFRSF4_304389	14.24	15.47	-2.36	0.0085	0.0218	TNFRSF4	tumor_necrosis_factor_receptor_superfamily_member_4
MKI67_581686	17.45	16.27	2.27	0.0093	0.0233	MKI67	marker_of_proliferation_Ki-67
ID3_572678	15.72	16.83	-2.16	0.0106	0.0259	ID3	inhibitor_of_DNA_binding_3_dominant_negative_helix-loop-helix_protein
CMKLR1_36143	12.62	13.88	-2.39	0.0114	0.0275	CMKLR1	chemokine-like_receptor_1
CXCR3_11138	12.49	14.03	-2.91	0.0152	0.0348	CXCR3	C-X-C_chemokine_receptor_type_3_isoform_1
LCK_89192	13.16	14.73	-2.97	0.0169	0.0362	LCK	lymphocyte-specific_protein_tyrosine_kinase
HLA-DRB1_877982	21.8	23.24	-2.72	0.0330	0.0588	HLA-DRB1	major_histocompatibility_complex_class_II_DR_beta_1
