#%result_name=Analysis_1
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=1 vs 4
ID	1 Avg (log2)	4 Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
FOXP3_865975	16.57	18.7	-4.4	1.48E-05	0.0001	FOXP3	forkhead_box_P3
TNF_450555	18.02	19.43	-2.66	2.38E-05	0.0002	TNF	tumor_necrosis_factor
CLEC4C_322429	11.94	15.8	-14.49	3.00E-05	0.0003	CLEC4C	C-type_lectin_domain_family_4_member_C
BUB1_701803	17.95	16.95	2.01	3.12E-05	0.0003	BUB1	BUB1_mitotic_checkpoint_serine_threonine_kinase
GZMK_178286	17.31	19.55	-4.72	3.15E-05	0.0003	GZMK	granzyme_K_granzyme_3_tryptase_II
STAT4_245352	17.91	19.37	-2.76	3.78E-05	0.0003	STAT4	signal_transducer_and_activator_of_transcription_4
BCL2_10401144	18.66	20.33	-3.17	3.97E-05	0.0003	BCL2	B-cell_CLL_lymphoma_2
LCN2_153259	24.19	20.48	13.09	4.70E-05	0.0004	LCN2	lipocalin_2
CXCR5_153252	17.36	19.63	-4.83	5.03E-05	0.0004	CXCR5	chemokine_C-X-C_motif_receptor_5
MMP9_11741283	23.91	21.42	5.61	5.46E-05	0.0004	MMP9	matrix_metallopeptidase_9_gelatinase_B_92kDa_gelatinase_92kDa_type_IV_collagenase
CCR6_271363	16.46	17.92	-2.75	5.88E-05	0.0005	CCR6	C-C_chemokine_receptor_type_6
IKZF2_537639	16.56	18.59	-4.08	6.43E-05	0.0005	IKZF2	IKAROS_family_zinc_finger_2_Helios
CX3CR1_147243	14	16.5	-5.67	7.80E-05	0.0006	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
GPR18_238340	16.9	18.76	-3.63	9.29E-05	0.0007	GPR18	G_protein-coupled_receptor_18
SH2D1A_540642	17.24	19.03	-3.45	0.0001	0.0010	SH2D1A	SH2_domain_containing_1A
CEACAM8_745847	20.96	17.4	11.86	0.0001	0.0010	CEACAM8	carcinoembryonic_antigen-related_cell_adhesion_molecule_8
CCL4_121220	18.98	20.37	-2.63	0.0002	0.0011	CCL4	chemokine_C-C_motif_ligand_4
KLRD1_515619	19.38	21.11	-3.32	0.0002	0.0012	KLRD1	killer_cell_lectin-like_receptor_subfamily_D_member_1
EOMES_9391044	18.22	20.43	-4.64	0.0002	0.0012	EOMES	eomesodermin
CD3E_677780	21.44	23.54	-4.28	0.0002	0.0015	CD3E	CD3e_molecule_epsilon_CD3-TCR_complex
PYGL_586697	23.63	22.01	3.07	0.0003	0.0017	PYGL	phosphorylase_glycogen_liver
HLA-DPB1_175280	21.14	23.08	-3.83	0.0003	0.0017	HLA-DPB1	major_histocompatibility_complex_class_II_DP_beta_1
SLAMF8_9071016	15.32	17.05	-3.33	0.0003	0.0017	SLAMF8	SLAM_family_member_8
PTPRC_710817	21.6	22.87	-2.41	0.0003	0.0017	PTPRC	protein_tyrosine_phosphatase_receptor_type_C
SH2D1B_173275	17.24	19.51	-4.84	0.0003	0.0017	SH2D1B	SH2_domain_containing_1B
CX3CR1_207292	14.35	16.39	-4.1	0.0003	0.0018	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
FOXM1_10551166	16.93	15.79	2.2	0.0003	0.0019	FOXM1	forkhead_box_M1
PDCD1_143244	14.84	16.74	-3.74	0.0004	0.0020	PDCD1	programmed_cell_death_1
CD274_461569	18.78	16.31	5.51	0.0004	0.0020	CD274	CD274_molecule
IFNA17_691788	13.7	10	12.96	0.0004	0.0020	IFNA17	interferon_alpha_17
NRP1_14831588	12.89	15.44	-5.86	0.0004	0.0020	NRP1	neuropilin_1
NCAM1_26012709	16.68	18.28	-3.04	0.0004	0.0021	NCAM1	neural_cell_adhesion_molecule_1
CD2_350452	20.15	21.25	-2.15	0.0004	0.0021	CD2	CD2_molecule
IL2RA_240338	17.3	19	-3.26	0.0004	0.0022	IL2RA	interleukin_2_receptor_alpha
CXCR6_48153	15.31	17.44	-4.37	0.0004	0.0022	CXCR6	chemokine_C-X-C_motif_receptor_6
ITGB7_24342544	18.91	20.25	-2.53	0.0005	0.0025	ITGB7	integrin_beta_7
CD40_300407	17.15	18.54	-2.63	0.0005	0.0026	CD40	CD40_molecule_TNF_receptor_superfamily_member_5
CRTAM_312417	16.17	17.39	-2.33	0.0005	0.0026	CRTAM	cytotoxic_and_regulatory_T_cell_molecule
CBLB_296407	17.88	19.24	-2.57	0.0005	0.0026	CBLB	Cbl_proto-oncogene_B_E3_ubiquitin_protein_ligase
FAS_473575	21.45	20.26	2.29	0.0005	0.0026	FAS	Fas_cell_surface_death_receptor
FUT4_31443252	18.63	17.07	2.94	0.0006	0.0026	FUT4	fucosyltransferase_4_alpha_1_3_fucosyltransferase_myeloid-specific
ID3_572678	15.78	17.94	-4.46	0.0006	0.0028	ID3	inhibitor_of_DNA_binding_3_dominant_negative_helix-loop-helix_protein
MPO_15121620	19.85	17.4	5.46	0.0006	0.0030	MPO	myeloperoxidase
BRCA1_42344338	17.27	16.08	2.28	0.0007	0.0032	BRCA1	breast_cancer_1_early_onset
KIR2DL3_654757	14.92	17.36	-5.45	0.0008	0.0036	KIR2DL3	killer_cell_immunoglobulin-like_receptor_2DL3_precursor
IL23A_386491	13.95	16.1	-4.42	0.0008	0.0037	IL23A	interleukin_23_alpha_subunit_p19
CD160_194300	15.71	18.12	-5.31	0.0009	0.0038	CD160	CD160_molecule
CD22_10251132	18.06	19.71	-3.14	0.0009	0.0040	CD22	CD22_molecule
LCK_89192	13.34	16.11	-6.82	0.0010	0.0042	LCK	lymphocyte-specific_protein_tyrosine_kinase
CIITA_294397	19.91	20.98	-2.09	0.0010	0.0042	CIITA	class_II_major_histocompatibility_complex_transactivator
LRG1_24131	21.59	20.55	2.06	0.0010	0.0043	LRG1	leucine-rich_alpha-2-glycoprotein_1
NT5E_12531355	15.37	17.27	-3.71	0.0010	0.0043	NT5E	5p-nucleotidase_ecto_CD73
TARP_416517	19.22	20.77	-2.93	0.0010	0.0043	TARP	TCR_gamma_alternate_reading_frame_protein
CTLA4_584689	15.28	17.1	-3.52	0.0011	0.0044	CTLA4	cytotoxic_T-lymphocyte-associated_protein_4
TOP2A_27522855	17.77	16.13	3.12	0.0011	0.0044	TOP2A	topoisomerase_DNA_II_alpha_170kDa
IKZF3_427534	19.33	20.75	-2.67	0.0011	0.0045	IKZF3	IKAROS_family_zinc_finger_3_Aiolos
KLRB1_177284	17.93	19.39	-2.75	0.0013	0.0051	KLRB1	killer_cell_lectin-like_receptor_subfamily_B_member_1
CCNB2_9861095	18	16.61	2.61	0.0013	0.0051	CCNB2	cyclin_B2
LAG3_13111419	15.64	17.2	-2.96	0.0013	0.0053	LAG3	lymphocyte-activation_gene_3
KREMEN1_12861389	19.8	18.33	2.76	0.0014	0.0056	KREMEN1	kringle_containing_transmembrane_protein_1
PTEN_19732078	22.53	20.68	3.6	0.0016	0.0061	PTEN	phosphatase_and_tensin_homolog
NFATC1_27682875	16.01	17.09	-2.11	0.0018	0.0067	NFATC1	nuclear_factor_of_activated_T-cells_cytoplasmic_calcineurin-dependent_1
IFITM1_359459	24.29	23.25	2.06	0.0018	0.0067	IFITM1	interferon_induced_transmembrane_protein_1
FCER1G_31138	25.15	24.13	2.02	0.0018	0.0068	FCER1G	Fc_fragment_of_IgE_high_affinity_I_receptor_for_gamma_polypeptide
OAS2_15981707	19.74	21.21	-2.77	0.0020	0.0073	OAS2	2p-5p-oligoadenylate_synthetase_2_69_71kDa
B3GAT1_170280	15.18	16.99	-3.52	0.0021	0.0076	B3GAT1	beta-1_3-glucuronyltransferase_1_glucuronosyltransferase_P
FCGR3A_575682	25.2	23.8	2.63	0.0022	0.0078	FCGR3A	Fc_fragment_of_IgG_low_affinity_IIIa_receptor_CD16a
SRGN_230328	26.19	24.77	2.68	0.0022	0.0078	SRGN	serglycin
LEXM_10551156	14.31	15.96	-3.14	0.0023	0.0081	LEXM	lymphocyte_expansion_molecule_variant2
EGR2_454559	14.22	15.58	-2.56	0.0025	0.0087	EGR2	early_growth_response_2
IL18_140246	18.98	17.9	2.11	0.0037	0.0123	IL18	interleukin_18_interferon-gamma-inducing_factor
PTPRCAP_383516	15.37	16.98	-3.05	0.0037	0.0123	PTPRCAP	protein_tyrosine_phosphatase_receptor_type_C-associated_protein_precursor
MELK_300401	16.66	15.62	2.05	0.0039	0.0129	MELK	maternal_embryonic_leucine_zipper_kinase
ITGAE_33753481	16.34	15.21	2.2	0.0043	0.0141	ITGAE	integrin_alpha_E_antigen_CD103_human_mucosal_lymphocyte_antigen_1_alpha_polypeptide
ENTPD1_708815	21.46	20.23	2.33	0.0044	0.0143	ENTPD1	ectonucleoside_triphosphate_diphosphohydrolase_1
ICOSLG_483588	15.93	17.55	-3.07	0.0046	0.0148	ICOSLG	inducible_T-cell_co-stimulator_ligand
HLA-DMA_764869	19.92	21.03	-2.16	0.0054	0.0168	HLA-DMA	major_histocompatibility_complex_class_II_DM_alpha
CDKN3_434534	16.33	14.14	4.57	0.0054	0.0168	CDKN3	cyclin-dependent_kinase_inhibitor_3
IDO1_268369	14.69	16.52	-3.55	0.0058	0.0179	IDO1	indoleamine_2_3-dioxygenase_1
MS4A1_127232	19.77	21.02	-2.39	0.0062	0.0188	MS4A1	membrane-spanning_4-domains_subfamily_A_member_1
KLRF1_188285	16.31	17.35	-2.05	0.0069	0.0207	KLRF1	killer_cell_lectin-like_receptor_subfamily_F_member_1
KIAA0101_319426	16.8	15.12	3.19	0.0072	0.0214	KIAA0101	KIAA0101
CMKLR1_36143	12.58	14.05	-2.76	0.0073	0.0215	CMKLR1	chemokine-like_receptor_1
CEACAM1_10471155	20.08	18.65	2.69	0.0074	0.0219	CEACAM1	carcinoembryonic_antigen-related_cell_adhesion_molecule_1_biliary_glycoprotein
MRC1_529634	14.28	13.06	2.32	0.0075	0.0219	MRC1	mannose_receptor_C_type_1
CD27_409517	18.29	20.37	-4.25	0.0075	0.0219	CD27	CD27_molecule
ADGRE5_26552764	23.59	22.55	2.06	0.0077	0.0221	ADGRE5	adhesion_G_protein-coupled_receptor_E5
HLA-DMB_854962	14.6	16.82	-4.68	0.0080	0.0227	HLA-DMB	major_histocompatibility_complex_class_II_DM_beta
PGF_742842	13.03	11.32	3.27	0.0082	0.0232	PGF	placental_growth_factor
HLA-DQA1_587686	18.85	21.33	-5.58	0.0084	0.0235	HLA-DQA1	major_histocompatibility_complex_class_II_DQ_alpha_1
CXCR3_11138	12.56	14.5	-3.83	0.0084	0.0235	CXCR3	C-X-C_chemokine_receptor_type_3_isoform_1
CD209_9921101	12.73	14.78	-4.12	0.0097	0.0267	CD209	CD209_molecule
TLR8_36137	22.19	20.74	2.73	0.0103	0.0278	TLR8	toll-like_receptor_8
FCRLA_710815	18.37	19.43	-2.09	0.0105	0.0282	FCRLA	Fc_receptor-like_A
CD3D_400503	19.44	20.79	-2.56	0.0106	0.0284	CD3D	CD3d_molecule_delta_CD3-TCR_complex
HLA-DPA1_129237	21.41	24.08	-6.33	0.0108	0.0286	HLA-DPA1	major_histocompatibility_complex_class_II_DP_alpha_1
CCR4_76182	16.64	17.91	-2.41	0.0114	0.0297	CCR4	chemokine_C-C_motif_receptor_4
SKAP2_809912	22.53	21.26	2.41	0.0118	0.0306	SKAP2	src_kinase_associated_phosphoprotein_2
TNFRSF18_348456	14.68	15.84	-2.23	0.0132	0.0336	TNFRSF18	tumor_necrosis_factor_receptor_superfamily_member_18
IFITM2_316422	25.85	24.73	2.18	0.0133	0.0338	IFITM2	interferon_induced_transmembrane_protein_2
CD83_480580	16.69	17.7	-2.01	0.0139	0.0351	CD83	CD83_molecule
HMBS_796904	18.96	17.81	2.21	0.0142	0.0356	HMBS	hydroxymethylbilane_synthase
CDK1_837939	17.22	15.98	2.36	0.0156	0.0385	CDK1	cyclin-dependent_kinase_1
ZBTB46_13361440	11.79	13.58	-3.46	0.0162	0.0394	ZBTB46	zinc_finger_and_BTB_domain_containing_46
IFNB1_579686	13.93	12.19	3.32	0.0164	0.0396	IFNB1	interferon_beta_1_fibroblast
KRT5_10631165	11.24	13.61	-5.16	0.0204	0.0477	KRT5	keratin_5
GZMB_581688	19.88	21.3	-2.68	0.0210	0.0489	GZMB	granzyme_B_granzyme_2_cytotoxic_T-lymphocyte-associated_serine_esterase_1
